,0
0,483.900977316075
1,895.1166635549558
2,1244.8223833503748
3,1542.9189924466862
4,1797.9780311307939
5,2017.2570343142247
6,2205.586357561576
7,2371.6475199254055
8,2515.105434233496
9,2638.2632490420865
10,2744.6659438640345
11,2836.360095245515
12,2914.6441991778606
13,2982.3193419560794
14,3037.9814290187637
15,3083.097542301609
16,3119.168574100239
17,3144.9650395169338
18,3161.332324914433
19,3167.845103107952
20,3167.795728301538
21,3163.7772612567533
22,3157.7770272129837
23,3150.350462713879
24,3140.647775088349
25,3128.248542490121
26,3113.647356532367
27,3097.4051353649265
28,3081.9586027614278
29,3067.35156000721
30,3053.9022588615867
31,3043.930256557327
32,3037.216665996221
33,3034.9024949919694
34,3034.665229955405
35,3036.1123581016764
36,3042.180820558713
37,3050.133385224267
38,3059.9654065425616
39,3071.5355697397836
40,3090.5338922307233
41,3110.1394322342753
42,3130.673642357518
43,3151.092549779647
44,3171.339439492238
45,3193.1370271466685
46,3213.840924747544
47,3236.8650232542554
48,3263.3139647808894
49,3293.516875860919
50,3325.5794065905957
51,3359.743932306641
52,3397.999834216397
53,3435.9988459026063
54,3472.1984830373767
55,3507.1650532928356
56,3538.9647362184196
57,3566.630460363678
58,3587.9675099986066
59,3600.6924643661423
60,3604.9055426854384
61,3600.061197756196
62,3588.828362197611
63,3570.422942831703
64,3543.3609471063214
65,3514.0704964797883
66,3483.692268201998
67,3453.244337333121
68,3423.160902022382
69,3393.5634120651866
70,3363.3266201338406
71,3334.8832142896986
72,3308.48663467742
73,3285.675876573093
74,3268.142065051265
75,3253.246241428951
76,3242.422524094658
77,3238.834897486464
78,3235.745173464093
79,3236.6234377437204
80,3241.1214272466877
81,3249.0752219359533
82,3258.168880410398
83,3268.4628759623615
84,3281.1399949315714
85,3295.8322547864564
86,3309.3036628769223
87,3319.880747747857
88,3330.9732327086413
89,3336.0422102217053
90,3336.943463692511
91,3335.597697589488
92,3331.8294727663656
93,3329.137619927295
94,3327.4710056053577
95,3327.5808936408102
96,3330.4212448362305
97,3333.6180105039275
98,3338.4586788134047
99,3345.8925429446335
100,3352.4786205511573
101,3358.44867203011
102,3364.6934852207623
103,3367.9621954032705
104,3370.57420900503
105,3372.092261888422
106,3372.1122948140246
107,3370.7391253538017
108,3368.836392375571
109,3366.8417809274933
110,3369.268512341805
111,3376.4397492034877
112,3389.288162144747
113,3408.909617757548
114,3425.980284140685
115,3449.9298198845095
116,3480.6098812115188
117,3518.5328766189436
118,3562.719411175695
119,3612.0500716192323
120,3667.1476582696264
121,3727.186281615316
122,3788.6402196770396
123,3850.4369239082525
124,3912.1666662700886
125,3972.5598247194002
126,4032.6420719722423
127,4091.9565973789313
128,4151.459046437325
129,4207.676224375386
130,4259.491719152186
131,4309.670033209553
132,4358.178657946695
133,4404.457250254229
134,4449.0830112624
135,4495.003000873289
