,0
0,3.151899396099392
1,5.703104710421865
2,7.755747538929269
3,9.41066549015779
4,10.817185889928023
5,12.02508449845821
6,12.844683243180627
7,13.299101833989678
8,13.404130813124038
9,13.387366612969483
10,13.161161200827813
11,12.793758681642029
12,12.35608661282365
13,11.810035496767318
14,11.20939442592356
15,10.50259209670516
16,9.720422082733883
17,9.097386444937406
18,9.087946123200503
19,9.945121447916556
20,11.625323480320304
21,14.110336802074979
22,17.162137211298383
23,20.926083395746783
24,24.962214313108777
25,29.024186909649664
26,32.81403357461885
27,36.268206483643546
28,39.05401215275258
29,41.13557090922631
30,42.31848634859749
31,42.65462924094565
32,42.17269663545416
33,41.057245248113844
34,39.636724486359284
35,38.00572843948491
36,36.34938100312199
37,34.48191890057558
38,32.80212377661298
39,31.50805950463418
40,30.668007958476984
41,30.26542666520831
42,30.11950226166387
43,30.060773797085265
44,29.67795012908484
45,28.82448521391576
46,27.830944048996994
47,26.896830876298196
48,25.92924600460514
49,24.83723766787363
50,23.704974021820824
51,22.768400463103426
52,22.27736313676818
53,22.325555767754526
54,22.942522054416536
55,23.922216069686502
56,25.024613585936706
57,25.983699425074384
58,27.071710634833515
59,28.46110593414707
60,29.935587001193685
61,31.529244884562438
62,33.10150267482703
63,34.72398644510967
64,36.21514955197372
65,37.364412057987934
66,37.95000966831788
67,37.87043157119122
68,37.466939142089544
69,37.36514637110197
70,37.69475925914069
71,38.32959175945669
72,38.83712564929594
73,39.02345860107055
74,38.86658099237682
75,38.338535173527546
76,37.399605465506156
77,35.9049038292759
78,33.96319155508411
79,31.649368724903702
80,29.15203209025048
81,26.88870846726035
82,25.201079997458205
83,24.285185810978245
84,23.998098596851168
85,24.202075350273933
86,24.796161323846363
87,25.771865027721603
88,26.905526427510218
89,28.250851765514543
90,29.73038230970488
91,31.093567198428566
92,32.243513553589594
93,33.053415880554454
94,33.80344466290659
95,34.586840672369654
96,35.40007894184068
97,36.2549813277858
98,37.23383618020921
99,38.45639064407099
100,39.75148518602883
101,40.88076629358799
102,41.55744114229162
103,41.695360613134575
104,41.42843593659928
105,40.731501187329116
106,39.914183511980426
107,39.114644405162146
108,38.54605016585074
109,38.22625818712736
110,37.9925008869722
111,37.672602515466515
112,37.135306518494346
113,36.4643398762532
114,35.8805988975034
115,35.18125793612274
116,34.4528911834975
117,33.5160015354366
118,32.204469099366726
