,0
0,395.43626453175204
1,731.3179252146782
2,1016.8912091758648
3,1260.3786783459695
4,1468.7495918246568
5,1647.9570588968147
6,1801.833422147389
7,1937.4163022642938
8,2054.6777210776736
9,2155.5851913690435
10,2242.7508740360995
11,2317.663416580032
12,2381.433230594218
13,2436.3389566612063
14,2481.567465940531
15,2518.513692704115
16,2548.0931717991893
17,2569.3462872802415
18,2583.677276011519
19,2590.062033893837
20,2591.03525539611
21,2588.3024105641607
22,2583.8789531932384
23,2578.3729383049513
24,2571.150800061966
25,2561.7478236475754
26,2550.5257528306583
27,2537.838511524749
28,2525.600775804211
29,2513.6279117853906
30,2501.870825021268
31,2492.4690597886183
32,2485.4651782211645
33,2481.900272135388
34,2479.917000966881
35,2479.4444408602217
36,2483.2998105325105
37,2489.374619514149
38,2497.642996608147
39,2507.6777125065237
40,2524.0126255959126
41,2540.912901920426
42,2558.28694804975
43,2575.2489062901354
44,2591.9505210560637
45,2610.234357270943
46,2627.7912737568663
47,2647.24792042579
48,2669.1340352288826
49,2693.5580251910915
50,2718.9489120170374
51,2745.732966038798
52,2776.1286345134963
53,2806.2250951618794
54,2834.5660899629834
55,2861.8449455390396
56,2886.1507910396535
57,2907.2968766251884
58,2922.948142201772
59,2931.4710090641593
60,2933.3600455643073
61,2928.074748195134
62,2917.808808795354
63,2901.8069856292527
64,2879.135580219277
65,2854.841918949604
66,2829.6757897687426
67,2804.565989733131
68,2779.6276748490695
69,2755.395016349534
70,2730.94839384619
71,2707.6124637998846
72,2686.03989730081
73,2667.5162807055267
74,2653.6528045859127
75,2641.8066258300614
76,2632.9320027712984
77,2629.8839001913234
78,2627.120070705349
79,2627.3048974889302
80,2630.1582901659704
81,2635.740764234132
82,2641.710027587871
83,2648.301796487924
84,2656.9231424904024
85,2667.2167818984176
86,2677.126061900319
87,2685.6166758815016
88,2695.308575523989
89,2701.1145919439955
90,2704.516261412891
91,2706.9466861534147
92,2707.7779935894973
93,2709.3171162777935
94,2711.188269660263
95,2713.723677430091
96,2717.866092963952
97,2721.886584405135
98,2726.8959125346405
99,2733.804530752988
100,2739.6249533539194
101,2744.7157879766314
102,2749.977102289975
103,2752.870837165579
104,2755.1890914802298
105,2756.4558234101996
106,2756.3815987867793
107,2755.092538214446
108,2753.3731921459025
109,2751.2606428311897
110,2752.3950315486563
111,2756.9254075499375
112,2765.8060744262416
113,2780.1590430918814
114,2792.6461258309882
115,2810.531706481482
116,2833.7067688945526
117,2862.7553821292936
118,2896.958519240674
119,2935.744975487883
120,2979.81705256722
121,3028.1954414896886
122,3077.7545136308745
123,3127.722557535501
124,3178.0198073692195
125,3227.589521274029
126,3277.18556274241
127,3326.6209983545527
128,3376.7329292856175
129,3424.419461213739
130,3468.6541466840167
131,3511.737434988345
132,3553.5958178919936
133,3593.7034843716015
134,3632.2812372866765
135,3671.7005601193955
136,3708.9534342533943
137,3744.972797673639
138,3779.2686770493515
139,3813.75079179361
140,3846.375937617959
141,3877.817124666179
142,3907.71418312782
143,3937.498067168458
144,3967.1308579280244
145,3995.4355310178157
146,4021.743839226561
147,4048.129120666431
148,4072.44112311188
149,4094.871492587804
150,4115.395456987496
151,4135.4565388332685
152,4154.607807602461
153,4171.259613514451
154,4184.9029400638
155,4194.97134546294
156,4201.080782418296
157,4204.059787013604
158,4202.027151133339
159,4196.612778649714
160,4186.96813279826
161,4173.872620872204
162,4158.638360001111
163,4140.808387820413
164,4121.625911259798
165,4100.3679978981745
166,4075.169761797907
167,4045.2535266290006
168,4010.448954508277
169,3970.8098990120293
170,3925.2941255112637
171,3885.6954025655964
172,3839.8922656951413
173,3789.617166825531
174,3735.883109340947
175,3679.810361805947
176,3623.5071319787176
177,3566.302376358962
178,3508.9247080315276
179,3451.9072715657576
180,3394.9688229535614
181,3338.176762772978
182,3281.674459838969
183,3225.7626218616506
184,3170.284737535149
185,3116.425924758315
186,3063.724464378424
187,3011.4484748546042
188,2960.2444162195225
189,2909.6819584634545
190,2860.557068364047
191,2812.857723458695
192,2767.9469829716054
193,2726.8144265002948
194,2686.7657609881244
195,2649.755659998849
196,2615.3079321349574
197,2584.235458962376
198,2556.0647797706147
199,2531.099180344269
200,2509.72609602098
201,2490.775361314269
202,2474.7392819121633
203,2461.326233370562
204,2450.6051638360223
205,2442.067251693244
206,2436.496816847345
207,2434.050603168007
208,2433.9130613472603
209,2435.592797266969
210,2439.063346752871
211,2444.680061492378
212,2451.6011408648887
213,2460.772577627166
214,2473.961235046521
215,2490.0273408634625
216,2510.5289362817434
217,2535.714206724546
218,2564.226727459209
219,2597.5176255897154
220,2635.435193762266
221,2678.643721877547
222,2726.5631026109386
223,2778.7226531042134
224,2834.0393146367014
225,2892.163352049359
226,2952.227320063256
