,0
0,486.7509878764753
1,900.3280158573507
2,1252.1666840640996
3,1552.2534413260298
4,1809.0571110782066
5,2030.0430435818453
6,2220.0547350677402
7,2387.5885591862257
8,2532.5962252870313
9,2657.147733820524
10,2764.823230083091
11,2857.382636010142
12,2936.1688381185977
13,3004.269280961926
14,3060.269422509032
15,3105.79662879974
16,3142.148767774049
17,3168.4041409468077
18,3185.21816060831
19,3192.1720346934926
20,3192.309253645279
21,3188.1424870746814
22,3181.9650455854385
23,3174.506300120373
24,3164.7643784704146
25,3152.154477843404
26,3137.0607786099126
27,3120.1342582171505
28,3103.7830408674236
29,3088.074696991868
30,3073.053144624685
31,3060.960063271749
32,3051.547769569827
33,3046.1408077189867
34,3042.4694150519517
35,3040.4243806953646
36,3043.8792739429528
37,3050.4476587523864
38,3059.981443754737
39,3071.9878453248116
40,3091.2943433756695
41,3110.9105923992556
42,3131.003373773578
43,3150.698070224827
44,3170.152050167347
45,3191.7397675727934
46,3212.816492329454
47,3236.5350629241207
48,3263.817110650891
49,3294.510898092721
50,3326.7816018535073
51,3360.824651791335
52,3398.755764895528
53,3436.598118492849
54,3472.6083441770966
55,3506.6865552389622
56,3536.7602533802733
57,3562.924370763214
58,3582.2775108629257
59,3592.932379032433
60,3595.637384519985
61,3589.708076879317
62,3577.577669889181
63,3558.4105994232377
64,3530.4735746626175
65,3499.90457125059
66,3467.928478272181
67,3435.552879177069
68,3403.3295378015937
69,3371.711720436369
70,3339.520507706756
71,3309.026623525532
72,3281.1448740919027
73,3257.915110456522
74,3240.86061397833
75,3226.879441996263
76,3217.1367723328376
77,3214.403013480564
78,3211.9842099479415
79,3213.110592322011
80,3217.2927531236915
81,3224.6991917985238
82,3232.5990879722467
83,3241.401172212219
84,3252.3914003071354
85,3264.8866015191065
86,3276.7311222629905
87,3286.649726753311
88,3297.7352579055832
89,3303.7051232500794
90,3306.441465743173
91,3308.1310812988227
92,3308.5500951360136
93,3310.1966055911153
94,3312.41055837363
95,3315.6577180403283
96,3320.8842517612525
97,3325.866670194604
98,3332.176035946411
99,3340.5808499146797
100,3347.728084593929
101,3354.3120375216868
102,3360.8773813913303
103,3364.054968678077
104,3366.106009006351
105,3366.492534573574
106,3365.0871700609264
107,3362.013450803958
108,3358.4774765648926
109,3355.174847073069
110,3356.657971679394
111,3362.7773182712026
112,3374.3824105471517
113,3392.666592403617
114,3408.573830618742
115,3431.2942221666863
116,3460.9061294008998
117,3498.038534293505
118,3541.6423262237126
119,3590.5855158874133
120,3645.4871344796743
121,3705.1432159808946
122,3766.102367325608
123,3827.5315509266434
124,3888.9491255001644
125,3949.318434552219
126,4009.6825738823554
127,4069.750332465694
128,4130.464998763477
129,4188.119116072532
130,4241.295179455731
131,4292.7182833777315
132,4342.204989214484
133,4389.515565677403
134,4435.2383844906235
135,4482.21534339956
136,4526.681940987161
137,4569.743536044079
138,4610.8489638071815
139,4652.341421817501
140,4691.5616808738105
141,4729.466668227982
142,4765.54685652195
143,4801.563534805574
144,4838.006530856014
145,4873.463235226424
146,4906.636596594661
147,4939.974588277605
148,4970.837265684264
149,4999.486944010681
150,5025.845672763725
151,5051.481988592519
152,5075.792587248808
153,5096.812760658003
154,5114.043263240521
155,5126.77452809283
156,5134.59988777337
157,5138.450283889897
158,5136.294330850891
159,5130.308460782635
160,5119.503006944671
161,5104.739292317962
162,5087.537507407865
163,5067.28651847935
164,5045.50759705801
165,5021.297000626785
166,4992.3537747259525
167,4957.679168676208
168,4916.826838427485
169,4869.695615330418
170,4815.31857723022
171,4768.010554083047
172,4713.0768987670035
173,4652.527369498441
174,4587.614203231208
175,4519.739012596565
176,4451.684794451765
177,4382.429391174012
178,4313.090227095346
179,4244.148552809421
180,4175.18695143954
181,4106.259173236874
182,4037.552947889764
183,3969.413709849401
184,3901.62327862043
185,3835.4034666228326
186,3770.298801090057
187,3705.5602835808068
188,3641.951806395693
189,3579.0660241999644
190,3518.0062653822506
191,3458.71255753611
192,3402.7325742831126
193,3351.2555429269596
194,3301.1781105735135
195,3255.0043914457724
196,3212.0386604222854
197,3173.261367101472
198,3137.9492215895484
199,3106.4084945723093
200,3079.212333032097
201,3055.1273576429576
202,3034.648846728845
203,3017.2603926005327
204,3003.278097157379
205,2991.994760834948
206,2984.395463899352
207,2980.571569261184
208,2979.520857768331
209,2980.911955227505
210,2984.454693393053
211,2990.4411546310002
212,2997.939287790733
213,3008.2707227089295
214,3023.582881676023
215,3042.5433673354173
216,3067.157428466396
217,3097.6312318642836
218,3132.4426284663978
219,3173.3125692844196
220,3219.8516835550327
221,3272.9390164036326
222,3331.9353666153356
223,3396.0109293585533
224,3463.8281654420853
225,3534.602550559515
226,3607.5532735221736
227,3682.1645625451474
228,3747.0763839951346
229,3816.161730376247
230,3884.993383798895
231,3952.809080687382
232,4017.9460533568245
233,4081.2950097035605
234,4140.310829982091
235,4195.2974282946625
236,4245.839482832339
237,4292.46871927964
238,4336.314869442639
239,4376.092306658406
240,4411.58959734082
241,4444.668450141842
242,4475.217834929574
243,4502.950184516193
244,4530.33106533797
245,4557.250722000285
246,4585.292545938322
247,4613.705373147635
248,4641.011195426366
249,4666.293827250871
250,4689.952177044858
251,4711.963101462583
252,4731.642452715206
253,4749.238130023663
254,4765.712271911161
255,4783.441570986938
256,4802.4895297475305
257,4820.238472623399
258,4832.780168287026
259,4842.603911729901
260,4850.329072432337
261,4853.295506597406
262,4855.53486616735
263,4858.044249639626
264,4860.449635485382
265,4863.801050126715
266,4867.280566211999
267,4868.165953103412
268,4866.627436297747
269,4861.40370374936
270,4853.8820811425
271,4840.710949253247
272,4823.165700045453
273,4799.5291938265755
